Simulation Time(s); Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
16; 9; 59; 48.673410; 48.863551; 59; 48.863551;
16; 19; 54; 46.447387; 46.344878; 54; 46.447387;
16; 4; 48; 3.125979; 6.530207; 48; 3.938455;
16; 0; 46; 3.125979; 6.530207; 46; 3.125979;
16; 15; 42; 17.409820; 19.154758; 42; 17.409820;
16; 11; 35; 45.966172; 46.449953; 35; 45.966172;
16; 1; 30; 45.860886; 47.028397; 30; 45.860886;
16; 8; 19; 17.187739; 15.473069; 19; 17.187739;
16; 2; 16; 39.762794; 36.399720; 16; 39.762794;
16; 16; 16; 45.914892; 46.107003; 16; 45.914892;
16; 13; 9; 15.678826; 15.744804; 9; 15.678826;
16; 14; 8; 45.648130; 45.286701; 8; 45.648130;
16; 7; 7; 18.277346; 14.182448; 4; 18.277346;



17; 18; 94; 18.809196; 18.369008; 94; 18.809196;
17; 17; 84; 18.762420; 18.242275; 84; 18.762420;
17; 5; 80; 10.706285; 9.394559; 80; 10.706285;
17; 3; 79; 18.773720; 17.555657; 79; 18.773720;
17; 10; 74; 46.263209; 46.976188; 74; 46.976188;
17; 12; 67; 47.495450; 46.014327; 67; 47.495450;
17; 6; 59; 7.850573; 9.366009; 59; 9.201340;
17; 9; 59; 48.717450; 48.863551; 59; 48.717450;
17; 19; 54; 45.883294; 46.447387; 54; 45.883294;
17; 4; 48; 3.339340; 3.938455; 48; 3.339340;
17; 0; 46; 3.339340; 3.125979; 46; 3.339340;
17; 15; 42; 17.954104; 17.409820; 42; 17.954104;
17; 11; 35; 47.520642; 45.966172; 35; 47.520642;
17; 1; 30; 46.195732; 45.860886; 30; 46.195732;
17; 8; 19; 17.625421; 17.187739; 19; 17.625421;
17; 2; 16; 35.626043; 39.762794; 16; 35.626043;
17; 16; 16; 45.535350; 45.914892; 16; 45.535350;
17; 13; 9; 15.186451; 15.678826; 9; 15.186451;
17; 14; 8; 45.906332; 45.648130; 8; 45.906332;
17; 7; 4; 16.445902; 18.277346; 4; 16.445902;



18; 18; 94; 18.220275; 18.809196; 94; 18.220275;
18; 17; 84; 18.060973; 18.762420; 84; 18.060973;
18; 5; 80; 10.377952; 10.706285; 80; 10.377952;
18; 3; 79; 19.107225; 18.773720; 79; 19.107225;
18; 10; 74; 46.261679; 46.976188; 74; 46.261679;
18; 12; 67; 46.377977; 47.495450; 67; 46.377977;
18; 6; 59; 10.282062; 9.201340; 59; 10.282062;
18; 9; 59; 48.262622; 48.717450; 59; 48.262622;
18; 19; 54; 48.464875; 45.883294; 54; 48.464875;
18; 4; 48; 5.175422; 3.339340; 48; 5.175422;
18; 0; 46; 5.175422; 3.339340; 46; 5.175422;
18; 15; 42; 18.456023; 17.954104; 42; 18.456023;
18; 11; 35; 46.354051; 47.520642; 35; 46.354051;
18; 1; 30; 46.115250; 46.195732; 30; 46.115250;
18; 8; 19; 15.203766; 17.625421; 19; 15.203766;
18; 2; 16; 37.391269; 35.626043; 16; 37.391269;
18; 16; 16; 43.817155; 45.535350; 16; 43.817155;
18; 13; 9; 15.307140; 15.186451; 9; 15.307140;
18; 14; 8; 45.888061; 45.906332; 8; 45.888061;
18; 7; 4; 17.011430; 16.445902; 7; 15.700801;



19; 18; 94; 18.503681; 18.220275; 94; 18.503681;
19; 17; 84; 18.324623; 18.060973; 84; 18.324623;
19; 5; 80; 12.758235; 10.377952; 80; 12.758235;
19; 3; 79; 16.511615; 19.107225; 79; 16.511615;
19; 10; 74; 45.932170; 46.261679; 74; 45.932170;
19; 12; 67; 45.755009; 46.377977; 67; 45.755009;
19; 6; 59; 6.550989; 10.282062; 59; 6.550989;
19; 9; 59; 48.453962; 48.262622; 59; 48.453962;
19; 19; 54; 44.053516; 48.464875; 54; 44.053516;
19; 4; 48; 11.410596; 5.175422; 48; 11.410596;
19; 0; 46; 11.410596; 5.175422; 46; 11.410596;
19; 15; 42; 16.580286; 18.456023; 42; 16.580286;
19; 11; 35; 45.821349; 46.354051; 35; 45.821349;
19; 1; 30; 45.937162; 46.115250; 30; 45.937162;
19; 8; 19; 16.196673; 15.203766; 19; 16.196673;
19; 2; 16; 40.081562; 37.391269; 16; 40.081562;
19; 16; 16; 48.343838; 43.817155; 16; 48.343838;
19; 13; 9; 14.923272; 15.307140; 9; 14.923272;
19; 14; 8; 47.412354; 45.888061; 15; 43.493764;
19; 7; 7; 16.462725; 15.700801; 16; 8.957102;



20; 18; 94; 17.028283; 18.503681; 94; 17.028283;
20; 17; 84; 19.517992; 18.324623; 84; 19.517992;
20; 5; 80; 12.298955; 12.758235; 80; 12.298955;
20; 3; 79; 18.603190; 16.511615; 79; 18.603190;
20; 10; 74; 45.907887; 45.932170; 74; 45.907887;
20; 12; 67; 45.166841; 45.755009; 67; 45.166841;
20; 6; 59; 6.875683; 6.550989; 59; 6.875683;
20; 9; 59; 48.310599; 48.453962; 59; 48.310599;
20; 19; 54; 48.467761; 44.053516; 54; 48.467761;
20; 4; 48; 10.206842; 11.410596; 48; 10.206842;
20; 0; 46; 10.206842; 11.410596; 46; 10.206842;
20; 15; 42; 18.378249; 16.580286; 42; 18.378249;
20; 11; 35; 46.158644; 45.821349; 35; 46.158644;
20; 1; 30; 45.887525; 45.937162; 30; 45.887525;
20; 8; 19; 17.422810; 16.196673; 19; 17.422810;
20; 2; 16; 39.764370; 40.081562; 16; 39.764370;
20; 16; 16; 44.812667; 48.343838; 16; 44.812667;
20; 7; 16; 15.343208; 8.957102; 4; 15.343208;
20; 14; 15; 46.357752; 43.493764; 48; 37.032146;
20; 13; 9; 16.519259; 14.923272; 15; 12.609506;



21; 18; 94; 18.550330; 17.028283; 94; 18.550330;
21; 17; 84; 19.523573; 19.517992; 84; 19.523573;
21; 5; 80; 12.095051; 12.298955; 80; 12.095051;
21; 3; 79; 18.041558; 18.603190; 79; 18.041558;
21; 10; 74; 47.104432; 45.907887; 74; 47.104432;
21; 12; 67; 45.959312; 45.166841; 67; 45.959312;
21; 6; 59; 5.602327; 6.875683; 59; 5.602327;
21; 9; 59; 48.425164; 48.310599; 59; 48.425164;
21; 19; 54; 44.680953; 48.467761; 54; 44.680953;
21; 4; 48; 8.685012; 10.206842; 48; 8.685012;
21; 14; 48; 45.982294; 37.032146; 8; 45.982294;
21; 0; 46; 8.685012; 10.206842; 46; 8.685012;
21; 15; 42; 20.353537; 18.378249; 42; 20.353537;
21; 11; 35; 46.196720; 46.158644; 35; 46.196720;
21; 1; 30; 45.890634; 45.887525; 30; 45.890634;
21; 8; 19; 14.953238; 17.422810; 19; 14.953238;
21; 16; 16; 44.379302; 44.812667; 16; 44.379302;
21; 2; 16; 40.294414; 39.764370; 16; 40.294414;
21; 13; 15; 17.117038; 12.609506; 9; 17.117038;
21; 7; 4; 14.599772; 15.343208; 6; 7.480099;



22; 18; 94; 17.860457; 18.550330; 94; 17.860457;
22; 17; 84; 17.594892; 19.523573; 84; 17.594892;
22; 5; 80; 13.319690; 12.095051; 80; 13.319690;
22; 3; 79; 17.734788; 18.041558; 79; 17.734788;
22; 10; 74; 45.592679; 47.104432; 74; 45.592679;
22; 12; 67; 45.490770; 45.959312; 67; 45.490770;
22; 6; 59; 6.510679; 5.602327; 59; 6.510679;
22; 9; 59; 48.701182; 48.425164; 59; 48.701182;
22; 19; 54; 45.546850; 44.680953; 54; 45.546850;
22; 4; 48; 7.676303; 8.685012; 48; 7.676303;
22; 0; 46; 7.676303; 8.685012; 46; 7.676303;
22; 15; 42; 17.685955; 20.353537; 42; 17.685955;
22; 11; 35; 45.700648; 46.196720; 35; 45.700648;
22; 1; 30; 45.882143; 45.890634; 30; 45.882143;
